,date,teams,home_team,away_team,opposition,result,score,home_goals,away_goals,aggregrate_score,peanalties,competition,season,year,month,day,swansea_goal,opposition_goals
950,04 Apr 1967,Swansea City v Bournemouth and Boscombe Athletic,Swansea City,Bournemouth and Boscombe Athletic,Bournemouth and Boscombe Athletic,L,0-1,0,1,-,-,League Division Three,1966,1967,4,4,0,1
951,08 Apr 1967,Mansfield Town v Swansea City,Mansfield Town,Swansea City,Mansfield Town,W,1-2,1,2,-,-,League Division Three,1966,1967,4,8,2,1
952,15 Apr 1967,Swansea City v Grimsby Town,Swansea City,Grimsby Town,Grimsby Town,W,2-0,2,0,-,-,League Division Three,1966,1967,4,15,2,0
953,22 Apr 1967,Walsall v Swansea City,Walsall,Swansea City,Walsall,D,1-1,1,1,-,-,League Division Three,1966,1967,4,22,1,1
954,26 Apr 1967,Bournemouth and Boscombe Athletic v Swansea City,Bournemouth and Boscombe Athletic,Swansea City,Bournemouth and Boscombe Athletic,L,1-0,1,0,-,-,League Division Three,1966,1967,4,26,0,1
955,29 Apr 1967,Swansea City v Peterborough United,Swansea City,Peterborough United,Peterborough United,D,3-3,3,3,-,-,League Division Three,1966,1967,4,29,3,3
956,06 May 1967,Torquay United v Swansea City,Torquay United,Swansea City,Torquay United,W,2-4,2,4,-,-,League Division Three,1966,1967,5,6,4,2
957,13 May 1967,Swansea City v Walsall,Swansea City,Walsall,Walsall,W,4-1,4,1,-,-,League Division Three,1966,1967,5,13,4,1
958,19 Aug 1967,Swansea City v Bradford Park Avenue,Swansea City,Bradford Park Avenue,Bradford Park Avenue,D,1-1,1,1,-,-,League Division Four,1967,1967,8,19,1,1
959,23 Aug 1967,Oxford United v Swansea City,Oxford United,Swansea City,Oxford United,L,3-1,3,1,-,-,League Cup,1967,1967,8,23,1,3
960,26 Aug 1967,Doncaster Rovers v Swansea City,Doncaster Rovers,Swansea City,Doncaster Rovers,W,1-2,1,2,-,-,League Division Four,1967,1967,8,26,2,1
961,02 Sep 1967,Swansea City v Luton Town,Swansea City,Luton Town,Luton Town,D,2-2,2,2,-,-,League Division Four,1967,1967,9,2,2,2
962,05 Sep 1967,Swansea City v Brentford,Swansea City,Brentford,Brentford,W,2-1,2,1,-,-,League Division Four,1967,1967,9,5,2,1
963,08 Sep 1967,Southend United v Swansea City,Southend United,Swansea City,Southend United,L,1-0,1,0,-,-,League Division Four,1967,1967,9,8,0,1
964,16 Sep 1967,Swansea City v Wrexham,Swansea City,Wrexham,Wrexham,W,2-0,2,0,-,-,League Division Four,1967,1967,9,16,2,0
965,23 Sep 1967,Barnsley v Swansea City,Barnsley,Swansea City,Barnsley,L,3-0,3,0,-,-,League Division Four,1967,1967,9,23,0,3
966,26 Sep 1967,Brentford v Swansea City,Brentford,Swansea City,Brentford,L,2-1,2,1,-,-,League Division Four,1967,1967,9,26,1,2
967,30 Sep 1967,Swansea City v Exeter City,Swansea City,Exeter City,Exeter City,D,1-1,1,1,-,-,League Division Four,1967,1967,9,30,1,1
968,03 Oct 1967,Swansea City v York City,Swansea City,York City,York City,D,1-1,1,1,-,-,League Division Four,1967,1967,10,3,1,1
969,07 Oct 1967,Aldershot v Swansea City,Aldershot,Swansea City,Aldershot,D,1-1,1,1,-,-,League Division Four,1967,1967,10,7,1,1
970,14 Oct 1967,Swansea City v Workington,Swansea City,Workington,Workington,W,5-2,5,2,-,-,League Division Four,1967,1967,10,14,5,2
971,21 Oct 1967,Lincoln City v Swansea City,Lincoln City,Swansea City,Lincoln City,L,3-0,3,0,-,-,League Division Four,1967,1967,10,21,0,3
972,23 Oct 1967,York City v Swansea City,York City,Swansea City,York City,L,2-1,2,1,-,-,League Division Four,1967,1967,10,23,1,2
973,28 Oct 1967,Swansea City v Halifax Town,Swansea City,Halifax Town,Halifax Town,W,2-1,2,1,-,-,League Division Four,1967,1967,10,28,2,1
974,04 Nov 1967,Bradford City v Swansea City,Bradford City,Swansea City,Bradford City,L,4-1,4,1,-,-,League Division Four,1967,1967,11,4,1,4
975,11 Nov 1967,Swansea City v Crewe Alexandra,Swansea City,Crewe Alexandra,Crewe Alexandra,L,1-2,1,2,-,-,League Division Four,1967,1967,11,11,1,2
976,15 Nov 1967,Luton Town v Swansea City,Luton Town,Swansea City,Luton Town,L,4-0,4,0,-,-,League Division Four,1967,1967,11,15,0,4
977,18 Nov 1967,Notts County v Swansea City,Notts County,Swansea City,Notts County,L,3-2,3,2,-,-,League Division Four,1967,1967,11,18,2,3
978,25 Nov 1967,Swansea City v Port Vale,Swansea City,Port Vale,Port Vale,W,4-2,4,2,-,-,League Division Four,1967,1967,11,25,4,2
979,02 Dec 1967,Chester v Swansea City,Chester,Swansea City,Chester,W,2-3,2,3,-,-,League Division Four,1967,1967,12,2,3,2
980,16 Dec 1967,Bradford Park Avenue v Swansea City,Bradford Park Avenue,Swansea City,Bradford Park Avenue,W,1-2,1,2,-,-,League Division Four,1967,1967,12,16,2,1
981,18 Dec 1967,Swansea City v Enfield,Swansea City,Enfield,Enfield,W,2-0,2,0,-,-,FA Cup,1967,1967,12,18,2,0
982,23 Dec 1967,Swansea City v Doncaster Rovers,Swansea City,Doncaster Rovers,Doncaster Rovers,W,3-1,3,1,-,-,League Division Four,1967,1967,12,23,3,1
983,26 Dec 1967,Swansea City v Newport County,Swansea City,Newport County,Newport County,W,4-2,4,2,-,-,League Division Four,1967,1967,12,26,4,2
984,30 Dec 1967,Newport County v Swansea City,Newport County,Swansea City,Newport County,L,3-0,3,0,-,-,League Division Four,1967,1967,12,30,0,3
985,06 Jan 1968,Swansea City v Brighton and Hove Albion,Swansea City,Brighton and Hove Albion,Brighton and Hove Albion,W,2-1,2,1,-,-,FA Cup,1967,1968,1,6,2,1
986,20 Jan 1968,Wrexham v Swansea City,Wrexham,Swansea City,Wrexham,L,2-1,2,1,-,-,League Division Four,1967,1968,1,20,1,2
987,27 Jan 1968,Doncaster Rovers v Swansea City,Doncaster Rovers,Swansea City,Doncaster Rovers,W,0-2,0,2,-,-,FA Cup,1967,1968,1,27,2,0
988,03 Feb 1968,Swansea City v Barnsley,Swansea City,Barnsley,Barnsley,D,1-1,1,1,-,-,League Division Four,1967,1968,2,3,1,1
989,10 Feb 1968,Exeter City v Swansea City,Exeter City,Swansea City,Exeter City,W,1-3,1,3,-,-,League Division Four,1967,1968,2,10,3,1
990,17 Feb 1968,Swansea City v Arsenal,Swansea City,Arsenal,Arsenal,L,0-1,0,1,-,-,FA Cup,1967,1968,2,17,0,1
991,24 Feb 1968,Swansea City v Notts County,Swansea City,Notts County,Notts County,W,2-0,2,0,-,-,League Division Four,1967,1968,2,24,2,0
992,02 Mar 1968,Workington v Swansea City,Workington,Swansea City,Workington,L,3-1,3,1,-,-,League Division Four,1967,1968,3,2,1,3
