,date,teams,home_team,away_team,opposition,result,score,home_goals,away_goals,aggregrate_score,peanalties,competition,season,year,month,day,swansea_goal,opposition_goals
0,05 Jan 1946,Bristol City v Swansea City,Bristol City,Swansea City,Bristol City,L,5-1,5,1,-,-,FA Cup,1945,1946,1,5,1,5
1,10 Jan 1946,Swansea City v Bristol City,Swansea City,Bristol City,Bristol City,D,2-2,2,2, 3-7,-,FA Cup,1945,1946,1,10,2,2
2,31 Aug 1946,Swansea City v West Bromwich Albion,Swansea City,West Bromwich Albion,West Bromwich Albion,L,2-3,2,3,-,-,League Division Two,1946,1946,8,31,2,3
3,04 Sep 1946,Southampton v Swansea City,Southampton,Swansea City,Southampton,L,4-0,4,0,-,-,League Division Two,1946,1946,9,4,0,4
4,07 Sep 1946,Newcastle United v Swansea City,Newcastle United,Swansea City,Newcastle United,D,1-1,1,1,-,-,League Division Two,1946,1946,9,7,1,1
5,09 Sep 1946,Swansea City v Nottingham Forest,Swansea City,Nottingham Forest,Nottingham Forest,W,3-2,3,2,-,-,League Division Two,1946,1946,9,9,3,2
6,14 Sep 1946,Swansea City v Bradford Park Avenue,Swansea City,Bradford Park Avenue,Bradford Park Avenue,L,1-6,1,6,-,-,League Division Two,1946,1946,9,14,1,6
7,21 Sep 1946,Swansea City v Tottenham Hotspur,Swansea City,Tottenham Hotspur,Tottenham Hotspur,L,0-2,0,2,-,-,League Division Two,1946,1946,9,21,0,2
8,28 Sep 1946,Burnley v Swansea City,Burnley,Swansea City,Burnley,L,1-0,1,0,-,-,League Division Two,1946,1946,9,28,0,1
9,03 Oct 1946,Swansea City v Southampton,Swansea City,Southampton,Southampton,W,4-2,4,2,-,-,League Division Two,1946,1946,10,3,4,2
10,05 Oct 1946,Swansea City v Barnsley,Swansea City,Barnsley,Barnsley,D,2-2,2,2,-,-,League Division Two,1946,1946,10,5,2,2
11,12 Oct 1946,Newport County v Swansea City,Newport County,Swansea City,Newport County,W,2-4,2,4,-,-,League Division Two,1946,1946,10,12,4,2
12,19 Oct 1946,Manchester City v Swansea City,Manchester City,Swansea City,Manchester City,D,1-1,1,1,-,-,League Division Two,1946,1946,10,19,1,1
13,26 Oct 1946,Swansea City v West Ham United,Swansea City,West Ham United,West Ham United,W,2-1,2,1,-,-,League Division Two,1946,1946,10,26,2,1
14,02 Nov 1946,Sheffield Wednesday v Swansea City,Sheffield Wednesday,Swansea City,Sheffield Wednesday,L,3-0,3,0,-,-,League Division Two,1946,1946,11,2,0,3
15,09 Nov 1946,Swansea City v Fulham,Swansea City,Fulham,Fulham,L,0-2,0,2,-,-,League Division Two,1946,1946,11,9,0,2
16,16 Nov 1946,Bury v Swansea City,Bury,Swansea City,Bury,D,3-3,3,3,-,-,League Division Two,1946,1946,11,16,3,3
17,23 Nov 1946,Swansea City v Luton Town,Swansea City,Luton Town,Luton Town,W,2-0,2,0,-,-,League Division Two,1946,1946,11,23,2,0
18,30 Nov 1946,Plymouth Argyle v Swansea City,Plymouth Argyle,Swansea City,Plymouth Argyle,L,2-1,2,1,-,-,League Division Two,1946,1946,11,30,1,2
19,07 Dec 1946,Swansea City v Leicester City,Swansea City,Leicester City,Leicester City,L,3-4,3,4,-,-,League Division Two,1946,1946,12,7,3,4
20,14 Dec 1946,Chesterfield v Swansea City,Chesterfield,Swansea City,Chesterfield,L,1-0,1,0,-,-,League Division Two,1946,1946,12,14,0,1
21,25 Dec 1946,Birmingham City v Swansea City,Birmingham City,Swansea City,Birmingham City,L,3-1,3,1,-,-,League Division Two,1946,1946,12,25,1,3
22,26 Dec 1946,Swansea City v Birmingham City,Swansea City,Birmingham City,Birmingham City,W,1-0,1,0,-,-,League Division Two,1946,1946,12,26,1,0
23,28 Dec 1946,West Bromwich Albion v Swansea City,West Bromwich Albion,Swansea City,West Bromwich Albion,L,2-1,2,1,-,-,League Division Two,1946,1946,12,28,1,2
24,04 Jan 1947,Swansea City v Newcastle United,Swansea City,Newcastle United,Newcastle United,L,1-2,1,2,-,-,League Division Two,1946,1947,1,4,1,2
25,11 Jan 1947,Swansea City v Gillingham,Swansea City,Gillingham,Gillingham,W,4-1,4,1,-,-,FA Cup,1946,1947,1,11,4,1
26,18 Jan 1947,Bradford Park Avenue v Swansea City,Bradford Park Avenue,Swansea City,Bradford Park Avenue,D,0-0,0,0,-,-,League Division Two,1946,1947,1,18,0,0
27,25 Jan 1947,Luton Town v Swansea City,Luton Town,Swansea City,Luton Town,L,2-0,2,0,-,-,FA Cup,1946,1947,1,25,0,2
28,27 Jan 1947,Tottenham Hotspur v Swansea City,Tottenham Hotspur,Swansea City,Tottenham Hotspur,L,3-1,3,1,-,-,League Division Two,1946,1947,1,27,1,3
29,01 Feb 1947,Swansea City v Burnley,Swansea City,Burnley,Burnley,L,0-2,0,2,-,-,League Division Two,1946,1947,2,1,0,2
30,15 Feb 1947,Swansea City v Newport County,Swansea City,Newport County,Newport County,W,5-1,5,1,-,-,League Division Two,1946,1947,2,15,5,1
31,22 Feb 1947,Swansea City v Manchester City,Swansea City,Manchester City,Manchester City,L,1-2,1,2,-,-,League Division Two,1946,1947,2,22,1,2
32,01 Mar 1947,West Ham United v Swansea City,West Ham United,Swansea City,West Ham United,L,3-0,3,0,-,-,League Division Two,1946,1947,3,1,0,3
33,15 Mar 1947,Fulham v Swansea City,Fulham,Swansea City,Fulham,L,3-0,3,0,-,-,League Division Two,1946,1947,3,15,0,3
34,22 Mar 1947,Swansea City v Bury,Swansea City,Bury,Bury,W,1-0,1,0,-,-,League Division Two,1946,1947,3,22,1,0
35,29 Mar 1947,Luton Town v Swansea City,Luton Town,Swansea City,Luton Town,L,3-0,3,0,-,-,League Division Two,1946,1947,3,29,0,3
36,05 Apr 1947,Swansea City v Plymouth Argyle,Swansea City,Plymouth Argyle,Plymouth Argyle,W,3-1,3,1,-,-,League Division Two,1946,1947,4,5,3,1
37,07 Apr 1947,Swansea City v Coventry City,Swansea City,Coventry City,Coventry City,L,2-3,2,3,-,-,League Division Two,1946,1947,4,7,2,3
38,08 Apr 1947,Coventry City v Swansea City,Coventry City,Swansea City,Coventry City,L,3-2,3,2,-,-,League Division Two,1946,1947,4,8,2,3
39,12 Apr 1947,Leicester City v Swansea City,Leicester City,Swansea City,Leicester City,W,0-1,0,1,-,-,League Division Two,1946,1947,4,12,1,0
40,19 Apr 1947,Swansea City v Chesterfield,Swansea City,Chesterfield,Chesterfield,L,1-2,1,2,-,-,League Division Two,1946,1947,4,19,1,2
41,26 Apr 1947,Millwall v Swansea City,Millwall,Swansea City,Millwall,D,1-1,1,1,-,-,League Division Two,1946,1947,4,26,1,1
42,03 May 1947,Nottingham Forest v Swansea City,Nottingham Forest,Swansea City,Nottingham Forest,D,1-1,1,1,-,-,League Division Two,1946,1947,5,3,1,1
43,10 May 1947,Swansea City v Sheffield Wednesday,Swansea City,Sheffield Wednesday,Sheffield Wednesday,W,2-0,2,0,-,-,League Division Two,1946,1947,5,10,2,0
44,17 May 1947,Barnsley v Swansea City,Barnsley,Swansea City,Barnsley,L,3-1,3,1,-,-,League Division Two,1946,1947,5,17,1,3
45,26 May 1947,Swansea City v Millwall,Swansea City,Millwall,Millwall,L,0-3,0,3,-,-,League Division Two,1946,1947,5,26,0,3
46,23 Aug 1947,Bournemouth and Boscombe Athletic v Swansea City,Bournemouth and Boscombe Athletic,Swansea City,Bournemouth and Boscombe Athletic,L,1-0,1,0,-,-,Division Three (South),1947,1947,8,23,0,1
47,28 Aug 1947,Swansea City v Watford,Swansea City,Watford,Watford,W,3-0,3,0,-,-,Division Three (South),1947,1947,8,28,3,0
48,30 Aug 1947,Swansea City v Ipswich Town,Swansea City,Ipswich Town,Ipswich Town,D,1-1,1,1,-,-,Division Three (South),1947,1947,8,30,1,1
49,03 Sep 1947,Watford v Swansea City,Watford,Swansea City,Watford,L,4-1,4,1,-,-,Division Three (South),1947,1947,9,3,1,4
50,06 Sep 1947,Bristol City v Swansea City,Bristol City,Swansea City,Bristol City,L,3-2,3,2,-,-,Division Three (South),1947,1947,9,6,2,3
51,10 Sep 1947,Southend United v Swansea City,Southend United,Swansea City,Southend United,D,1-1,1,1,-,-,Division Three (South),1947,1947,9,10,1,1
52,13 Sep 1947,Swansea City v Reading,Swansea City,Reading,Reading,D,1-1,1,1,-,-,Division Three (South),1947,1947,9,13,1,1
53,18 Sep 1947,Swansea City v Southend United,Swansea City,Southend United,Southend United,W,3-0,3,0,-,-,Division Three (South),1947,1947,9,18,3,0
54,20 Sep 1947,Walsall v Swansea City,Walsall,Swansea City,Walsall,L,2-1,2,1,-,-,Division Three (South),1947,1947,9,20,1,2
55,22 Sep 1947,Bristol Rovers v Swansea City,Bristol Rovers,Swansea City,Bristol Rovers,D,2-2,2,2,-,-,Division Three (South),1947,1947,9,22,2,2
56,27 Sep 1947,Swansea City v Leyton Orient,Swansea City,Leyton Orient,Leyton Orient,W,5-0,5,0,-,-,Division Three (South),1947,1947,9,27,5,0
57,01 Oct 1947,Brighton and Hove Albion v Swansea City,Brighton and Hove Albion,Swansea City,Brighton and Hove Albion,W,0-1,0,1,-,-,Division Three (South),1947,1947,10,1,1,0
58,04 Oct 1947,Exeter City v Swansea City,Exeter City,Swansea City,Exeter City,L,3-1,3,1,-,-,Division Three (South),1947,1947,10,4,1,3
59,11 Oct 1947,Swansea City v Queens Park Rangers,Swansea City,Queens Park Rangers,Queens Park Rangers,W,3-1,3,1,-,-,Division Three (South),1947,1947,10,11,3,1
60,18 Oct 1947,Port Vale v Swansea City,Port Vale,Swansea City,Port Vale,D,1-1,1,1,-,-,Division Three (South),1947,1947,10,18,1,1
61,25 Oct 1947,Swansea City v Swindon Town,Swansea City,Swindon Town,Swindon Town,W,1-0,1,0,-,-,Division Three (South),1947,1947,10,25,1,0
62,01 Nov 1947,Torquay United v Swansea City,Torquay United,Swansea City,Torquay United,D,1-1,1,1,-,-,Division Three (South),1947,1947,11,1,1,1
63,08 Nov 1947,Swansea City v Crystal Palace,Swansea City,Crystal Palace,Crystal Palace,W,2-0,2,0,-,-,Division Three (South),1947,1947,11,8,2,0
64,15 Nov 1947,Aldershot v Swansea City,Aldershot,Swansea City,Aldershot,W,0-3,0,3,-,-,Division Three (South),1947,1947,11,15,3,0
65,22 Nov 1947,Swansea City v Northampton Town,Swansea City,Northampton Town,Northampton Town,W,5-1,5,1,-,-,Division Three (South),1947,1947,11,22,5,1
66,06 Dec 1947,Swansea City v Norwich City,Swansea City,Norwich City,Norwich City,W,3-2,3,2,-,-,Division Three (South),1947,1947,12,6,3,2
67,20 Dec 1947,Swansea City v Bournemouth and Boscombe Athletic,Swansea City,Bournemouth and Boscombe Athletic,Bournemouth and Boscombe Athletic,W,3-2,3,2,-,-,Division Three (South),1947,1947,12,20,3,2
68,26 Dec 1947,Notts County v Swansea City,Notts County,Swansea City,Notts County,L,5-1,5,1,-,-,Division Three (South),1947,1947,12,26,1,5
69,27 Dec 1947,Swansea City v Notts County,Swansea City,Notts County,Notts County,D,1-1,1,1,-,-,Division Three (South),1947,1947,12,27,1,1
70,03 Jan 1948,Ipswich Town v Swansea City,Ipswich Town,Swansea City,Ipswich Town,L,3-2,3,2,-,-,Division Three (South),1947,1948,1,3,2,3
71,10 Jan 1948,Bristol Rovers v Swansea City,Bristol Rovers,Swansea City,Bristol Rovers,L,3-0,3,0,-,-,FA Cup,1947,1948,1,10,0,3
72,17 Jan 1948,Swansea City v Bristol City,Swansea City,Bristol City,Bristol City,W,6-1,6,1,-,-,Division Three (South),1947,1948,1,17,6,1
73,31 Jan 1948,Reading v Swansea City,Reading,Swansea City,Reading,L,4-1,4,1,-,-,Division Three (South),1947,1948,1,31,1,4
74,07 Feb 1948,Swansea City v Walsall,Swansea City,Walsall,Walsall,D,1-1,1,1,-,-,Division Three (South),1947,1948,2,7,1,1
75,14 Feb 1948,Leyton Orient v Swansea City,Leyton Orient,Swansea City,Leyton Orient,L,1-0,1,0,-,-,Division Three (South),1947,1948,2,14,0,1
76,21 Feb 1948,Swansea City v Exeter City,Swansea City,Exeter City,Exeter City,W,2-0,2,0,-,-,Division Three (South),1947,1948,2,21,2,0
77,06 Mar 1948,Swansea City v Port Vale,Swansea City,Port Vale,Port Vale,W,2-0,2,0,-,-,Division Three (South),1947,1948,3,6,2,0
78,13 Mar 1948,Swindon Town v Swansea City,Swindon Town,Swansea City,Swindon Town,L,1-0,1,0,-,-,Division Three (South),1947,1948,3,13,0,1
79,20 Mar 1948,Swansea City v Torquay United,Swansea City,Torquay United,Torquay United,D,1-1,1,1,-,-,Division Three (South),1947,1948,3,20,1,1
80,26 Mar 1948,Swansea City v Newport County,Swansea City,Newport County,Newport County,W,3-0,3,0,-,-,Division Three (South),1947,1948,3,26,3,0
81,27 Mar 1948,Crystal Palace v Swansea City,Crystal Palace,Swansea City,Crystal Palace,L,4-0,4,0,-,-,Division Three (South),1947,1948,3,27,0,4
82,29 Mar 1948,Newport County v Swansea City,Newport County,Swansea City,Newport County,D,1-1,1,1,-,-,Division Three (South),1947,1948,3,29,1,1
83,03 Apr 1948,Swansea City v Aldershot,Swansea City,Aldershot,Aldershot,W,2-1,2,1,-,-,Division Three (South),1947,1948,4,3,2,1
84,10 Apr 1948,Northampton Town v Swansea City,Northampton Town,Swansea City,Northampton Town,W,0-1,0,1,-,-,Division Three (South),1947,1948,4,10,1,0
85,17 Apr 1948,Swansea City v Bristol Rovers,Swansea City,Bristol Rovers,Bristol Rovers,L,0-1,0,1,-,-,Division Three (South),1947,1948,4,17,0,1
86,24 Apr 1948,Norwich City v Swansea City,Norwich City,Swansea City,Norwich City,W,1-2,1,2,-,-,Division Three (South),1947,1948,4,24,2,1
87,26 Apr 1948,Queens Park Rangers v Swansea City,Queens Park Rangers,Swansea City,Queens Park Rangers,D,0-0,0,0,-,-,Division Three (South),1947,1948,4,26,0,0
88,01 May 1948,Swansea City v Brighton and Hove Albion,Swansea City,Brighton and Hove Albion,Brighton and Hove Albion,D,0-0,0,0,-,-,Division Three (South),1947,1948,5,1,0,0
89,21 Aug 1948,Swansea City v Watford,Swansea City,Watford,Watford,W,2-0,2,0,-,-,Division Three (South),1948,1948,8,21,2,0
90,25 Aug 1948,Crystal Palace v Swansea City,Crystal Palace,Swansea City,Crystal Palace,D,1-1,1,1,-,-,Division Three (South),1948,1948,8,25,1,1
91,28 Aug 1948,Bournemouth and Boscombe Athletic v Swansea City,Bournemouth and Boscombe Athletic,Swansea City,Bournemouth and Boscombe Athletic,D,1-1,1,1,-,-,Division Three (South),1948,1948,8,28,1,1
92,02 Sep 1948,Swansea City v Crystal Palace,Swansea City,Crystal Palace,Crystal Palace,W,3-0,3,0,-,-,Division Three (South),1948,1948,9,2,3,0
93,04 Sep 1948,Swansea City v Ipswich Town,Swansea City,Ipswich Town,Ipswich Town,W,2-0,2,0,-,-,Division Three (South),1948,1948,9,4,2,0
94,09 Sep 1948,Swansea City v Leyton Orient,Swansea City,Leyton Orient,Leyton Orient,W,3-1,3,1,-,-,Division Three (South),1948,1948,9,9,3,1
95,11 Sep 1948,Notts County v Swansea City,Notts County,Swansea City,Notts County,D,1-1,1,1,-,-,Division Three (South),1948,1948,9,11,1,1
96,16 Sep 1948,Leyton Orient v Swansea City,Leyton Orient,Swansea City,Leyton Orient,L,3-1,3,1,-,-,Division Three (South),1948,1948,9,16,1,3
97,18 Sep 1948,Swansea City v Walsall,Swansea City,Walsall,Walsall,W,3-1,3,1,-,-,Division Three (South),1948,1948,9,18,3,1
98,25 Sep 1948,Torquay United v Swansea City,Torquay United,Swansea City,Torquay United,W,0-4,0,4,-,-,Division Three (South),1948,1948,9,25,4,0
99,30 Sep 1948,Swansea City v Swindon Town,Swansea City,Swindon Town,Swindon Town,W,4-0,4,0,-,-,Division Three (South),1948,1948,9,30,4,0
100,02 Oct 1948,Swansea City v Bristol Rovers,Swansea City,Bristol Rovers,Bristol Rovers,W,5-0,5,0,-,-,Division Three (South),1948,1948,10,2,5,0
101,09 Oct 1948,Port Vale v Swansea City,Port Vale,Swansea City,Port Vale,W,0-2,0,2,-,-,Division Three (South),1948,1948,10,9,2,0
102,16 Oct 1948,Swansea City v Millwall,Swansea City,Millwall,Millwall,W,2-0,2,0,-,-,Division Three (South),1948,1948,10,16,2,0
103,23 Oct 1948,Norwich City v Swansea City,Norwich City,Swansea City,Norwich City,L,1-0,1,0,-,-,Division Three (South),1948,1948,10,23,0,1
104,30 Oct 1948,Swansea City v Exeter City,Swansea City,Exeter City,Exeter City,W,6-0,6,0,-,-,Division Three (South),1948,1948,10,30,6,0
105,06 Nov 1948,Southend United v Swansea City,Southend United,Swansea City,Southend United,D,0-0,0,0,-,-,Division Three (South),1948,1948,11,6,0,0
106,13 Nov 1948,Swansea City v Northampton Town,Swansea City,Northampton Town,Northampton Town,W,1-0,1,0,-,-,Division Three (South),1948,1948,11,13,1,0
107,20 Nov 1948,Aldershot v Swansea City,Aldershot,Swansea City,Aldershot,W,1-2,1,2,-,-,Division Three (South),1948,1948,11,20,2,1
108,04 Dec 1948,Southend United v Swansea City,Southend United,Swansea City,Southend United,W,1-2,1,2,-,-,FA Cup,1948,1948,12,4,2,1
109,11 Dec 1948,Bristol City v Swansea City,Bristol City,Swansea City,Bristol City,L,3-1,3,1,-,-,FA Cup,1948,1948,12,11,1,3
110,18 Dec 1948,Watford v Swansea City,Watford,Swansea City,Watford,L,4-2,4,2,-,-,Division Three (South),1948,1948,12,18,2,4
111,25 Dec 1948,Reading v Swansea City,Reading,Swansea City,Reading,W,0-2,0,2,-,-,Division Three (South),1948,1948,12,25,2,0
112,27 Dec 1948,Swansea City v Reading,Swansea City,Reading,Reading,W,2-1,2,1,-,-,Division Three (South),1948,1948,12,27,2,1
113,01 Jan 1949,Swansea City v Bournemouth and Boscombe Athletic,Swansea City,Bournemouth and Boscombe Athletic,Bournemouth and Boscombe Athletic,W,2-0,2,0,-,-,Division Three (South),1948,1949,1,1,2,0
114,15 Jan 1949,Ipswich Town v Swansea City,Ipswich Town,Swansea City,Ipswich Town,L,2-0,2,0,-,-,Division Three (South),1948,1949,1,15,0,2
115,22 Jan 1949,Swansea City v Notts County,Swansea City,Notts County,Notts County,W,3-1,3,1,-,-,Division Three (South),1948,1949,1,22,3,1
116,29 Jan 1949,Swansea City v Brighton and Hove Albion,Swansea City,Brighton and Hove Albion,Brighton and Hove Albion,W,3-0,3,0,-,-,Division Three (South),1948,1949,1,29,3,0
117,05 Feb 1949,Walsall v Swansea City,Walsall,Swansea City,Walsall,L,2-1,2,1,-,-,Division Three (South),1948,1949,2,5,1,2
118,19 Feb 1949,Swansea City v Torquay United,Swansea City,Torquay United,Torquay United,W,6-1,6,1,-,-,Division Three (South),1948,1949,2,19,6,1
119,26 Feb 1949,Bristol Rovers v Swansea City,Bristol Rovers,Swansea City,Bristol Rovers,D,1-1,1,1,-,-,Division Three (South),1948,1949,2,26,1,1
120,05 Mar 1949,Swansea City v Port Vale,Swansea City,Port Vale,Port Vale,W,3-1,3,1,-,-,Division Three (South),1948,1949,3,5,3,1
121,12 Mar 1949,Millwall v Swansea City,Millwall,Swansea City,Millwall,L,2-0,2,0,-,-,Division Three (South),1948,1949,3,12,0,2
122,19 Mar 1949,Swansea City v Norwich City,Swansea City,Norwich City,Norwich City,W,2-1,2,1,-,-,Division Three (South),1948,1949,3,19,2,1
123,26 Mar 1949,Exeter City v Swansea City,Exeter City,Swansea City,Exeter City,D,1-1,1,1,-,-,Division Three (South),1948,1949,3,26,1,1
124,02 Apr 1949,Swansea City v Southend United,Swansea City,Southend United,Southend United,D,2-2,2,2,-,-,Division Three (South),1948,1949,4,2,2,2
125,09 Apr 1949,Northampton Town v Swansea City,Northampton Town,Swansea City,Northampton Town,W,0-1,0,1,-,-,Division Three (South),1948,1949,4,9,1,0
126,15 Apr 1949,Newport County v Swansea City,Newport County,Swansea City,Newport County,W,2-5,2,5,-,-,Division Three (South),1948,1949,4,15,5,2
127,16 Apr 1949,Swansea City v Aldershot,Swansea City,Aldershot,Aldershot,W,2-1,2,1,-,-,Division Three (South),1948,1949,4,16,2,1
128,18 Apr 1949,Swansea City v Newport County,Swansea City,Newport County,Newport County,W,2-1,2,1,-,-,Division Three (South),1948,1949,4,18,2,1
129,23 Apr 1949,Brighton and Hove Albion v Swansea City,Brighton and Hove Albion,Swansea City,Brighton and Hove Albion,W,0-2,0,2,-,-,Division Three (South),1948,1949,4,23,2,0
130,27 Apr 1949,Bristol City v Swansea City,Bristol City,Swansea City,Bristol City,D,0-0,0,0,-,-,Division Three (South),1948,1949,4,27,0,0
131,30 Apr 1949,Swansea City v Bristol City,Swansea City,Bristol City,Bristol City,W,2-0,2,0,-,-,Division Three (South),1948,1949,4,30,2,0
132,07 May 1949,Swindon Town v Swansea City,Swindon Town,Swansea City,Swindon Town,L,1-0,1,0,-,-,Division Three (South),1948,1949,5,7,0,1
133,20 Aug 1949,Swansea City v Preston North End,Swansea City,Preston North End,Preston North End,W,2-1,2,1,-,-,League Division Two,1949,1949,8,20,2,1
134,22 Aug 1949,Sheffield United v Swansea City,Sheffield United,Swansea City,Sheffield United,D,1-1,1,1,-,-,League Division Two,1949,1949,8,22,1,1
135,27 Aug 1949,Cardiff City v Swansea City,Cardiff City,Swansea City,Cardiff City,L,1-0,1,0,-,-,League Division Two,1949,1949,8,27,0,1
136,01 Sep 1949,Swansea City v Sheffield United,Swansea City,Sheffield United,Sheffield United,W,1-0,1,0,-,-,League Division Two,1949,1949,9,1,1,0
137,03 Sep 1949,Leeds United v Swansea City,Leeds United,Swansea City,Leeds United,W,1-2,1,2,-,-,League Division Two,1949,1949,9,3,2,1
138,07 Sep 1949,Grimsby Town v Swansea City,Grimsby Town,Swansea City,Grimsby Town,L,2-1,2,1,-,-,League Division Two,1949,1949,9,7,1,2
139,10 Sep 1949,Swansea City v Southampton,Swansea City,Southampton,Southampton,W,4-0,4,0,-,-,League Division Two,1949,1949,9,10,4,0
140,17 Sep 1949,Coventry City v Swansea City,Coventry City,Swansea City,Coventry City,W,1-2,1,2,-,-,League Division Two,1949,1949,9,17,2,1
141,24 Sep 1949,Swansea City v Luton Town,Swansea City,Luton Town,Luton Town,D,0-0,0,0,-,-,League Division Two,1949,1949,9,24,0,0
142,01 Oct 1949,Barnsley v Swansea City,Barnsley,Swansea City,Barnsley,L,5-2,5,2,-,-,League Division Two,1949,1949,10,1,2,5
143,08 Oct 1949,Swansea City v Blackburn Rovers,Swansea City,Blackburn Rovers,Blackburn Rovers,W,2-0,2,0,-,-,League Division Two,1949,1949,10,8,2,0
144,15 Oct 1949,Brentford v Swansea City,Brentford,Swansea City,Brentford,D,0-0,0,0,-,-,League Division Two,1949,1949,10,15,0,0
145,22 Oct 1949,Swansea City v Hull City,Swansea City,Hull City,Hull City,L,1-2,1,2,-,-,League Division Two,1949,1949,10,22,1,2
146,29 Oct 1949,Sheffield Wednesday v Swansea City,Sheffield Wednesday,Swansea City,Sheffield Wednesday,L,3-0,3,0,-,-,League Division Two,1949,1949,10,29,0,3
147,05 Nov 1949,Swansea City v Plymouth Argyle,Swansea City,Plymouth Argyle,Plymouth Argyle,D,2-2,2,2,-,-,League Division Two,1949,1949,11,5,2,2
148,12 Nov 1949,Chesterfield v Swansea City,Chesterfield,Swansea City,Chesterfield,L,4-1,4,1,-,-,League Division Two,1949,1949,11,12,1,4
149,19 Nov 1949,Swansea City v Bradford Park Avenue,Swansea City,Bradford Park Avenue,Bradford Park Avenue,W,2-0,2,0,-,-,League Division Two,1949,1949,11,19,2,0
150,26 Nov 1949,Leicester City v Swansea City,Leicester City,Swansea City,Leicester City,D,0-0,0,0,-,-,League Division Two,1949,1949,11,26,0,0
151,03 Dec 1949,Swansea City v Bury,Swansea City,Bury,Bury,L,1-2,1,2,-,-,League Division Two,1949,1949,12,3,1,2
152,10 Dec 1949,Tottenham Hotspur v Swansea City,Tottenham Hotspur,Swansea City,Tottenham Hotspur,L,3-1,3,1,-,-,League Division Two,1949,1949,12,10,1,3
153,17 Dec 1949,Preston North End v Swansea City,Preston North End,Swansea City,Preston North End,L,2-1,2,1,-,-,League Division Two,1949,1949,12,17,1,2
154,24 Dec 1949,Swansea City v Cardiff City,Swansea City,Cardiff City,Cardiff City,W,5-1,5,1,-,-,League Division Two,1949,1949,12,24,5,1
155,26 Dec 1949,West Ham United v Swansea City,West Ham United,Swansea City,West Ham United,L,3-0,3,0,-,-,League Division Two,1949,1949,12,26,0,3
156,27 Dec 1949,Swansea City v West Ham United,Swansea City,West Ham United,West Ham United,W,1-0,1,0,-,-,League Division Two,1949,1949,12,27,1,0
157,31 Dec 1949,Swansea City v Leeds United,Swansea City,Leeds United,Leeds United,L,1-2,1,2,-,-,League Division Two,1949,1949,12,31,1,2
158,07 Jan 1950,Swansea City v Birmingham City,Swansea City,Birmingham City,Birmingham City,W,3-0,3,0,-,-,FA Cup,1949,1950,1,7,3,0
159,14 Jan 1950,Southampton v Swansea City,Southampton,Swansea City,Southampton,W,1-2,1,2,-,-,League Division Two,1949,1950,1,14,2,1
160,21 Jan 1950,Swansea City v Coventry City,Swansea City,Coventry City,Coventry City,L,1-2,1,2,-,-,League Division Two,1949,1950,1,21,1,2
161,28 Jan 1950,Arsenal v Swansea City,Arsenal,Swansea City,Arsenal,L,2-1,2,1,-,-,FA Cup,1949,1950,1,28,1,2
162,04 Feb 1950,Luton Town v Swansea City,Luton Town,Swansea City,Luton Town,W,1-2,1,2,-,-,League Division Two,1949,1950,2,4,2,1
163,18 Feb 1950,Swansea City v Barnsley,Swansea City,Barnsley,Barnsley,W,4-0,4,0,-,-,League Division Two,1949,1950,2,18,4,0
164,25 Feb 1950,Blackburn Rovers v Swansea City,Blackburn Rovers,Swansea City,Blackburn Rovers,L,2-0,2,0,-,-,League Division Two,1949,1950,2,25,0,2
165,04 Mar 1950,Swansea City v Brentford,Swansea City,Brentford,Brentford,W,3-0,3,0,-,-,League Division Two,1949,1950,3,4,3,0
166,11 Mar 1950,Hull City v Swansea City,Hull City,Swansea City,Hull City,D,0-0,0,0,-,-,League Division Two,1949,1950,3,11,0,0
167,18 Mar 1950,Swansea City v Sheffield Wednesday,Swansea City,Sheffield Wednesday,Sheffield Wednesday,L,1-2,1,2,-,-,League Division Two,1949,1950,3,18,1,2
168,25 Mar 1950,Plymouth Argyle v Swansea City,Plymouth Argyle,Swansea City,Plymouth Argyle,W,0-1,0,1,-,-,League Division Two,1949,1950,3,25,1,0
169,01 Apr 1950,Swansea City v Leicester City,Swansea City,Leicester City,Leicester City,D,0-0,0,0,-,-,League Division Two,1949,1950,4,1,0,0
170,07 Apr 1950,Queens Park Rangers v Swansea City,Queens Park Rangers,Swansea City,Queens Park Rangers,D,0-0,0,0,-,-,League Division Two,1949,1950,4,7,0,0
171,08 Apr 1950,Bury v Swansea City,Bury,Swansea City,Bury,D,1-1,1,1,-,-,League Division Two,1949,1950,4,8,1,1
172,10 Apr 1950,Swansea City v Queens Park Rangers,Swansea City,Queens Park Rangers,Queens Park Rangers,L,0-1,0,1,-,-,League Division Two,1949,1950,4,10,0,1
173,15 Apr 1950,Swansea City v Chesterfield,Swansea City,Chesterfield,Chesterfield,L,0-2,0,2,-,-,League Division Two,1949,1950,4,15,0,2
174,22 Apr 1950,Bradford Park Avenue v Swansea City,Bradford Park Avenue,Swansea City,Bradford Park Avenue,W,0-2,0,2,-,-,League Division Two,1949,1950,4,22,2,0
175,29 Apr 1950,Swansea City v Tottenham Hotspur,Swansea City,Tottenham Hotspur,Tottenham Hotspur,W,1-0,1,0,-,-,League Division Two,1949,1950,4,29,1,0
176,06 May 1950,Swansea City v Grimsby Town,Swansea City,Grimsby Town,Grimsby Town,W,2-1,2,1,-,-,League Division Two,1949,1950,5,6,2,1
